Date,Open,High,Low,Close
2014-11-07,46.33486,46.88141,46.17762,46.56500
2014-11-08,46.56500,46.56500,46.56500,46.56500
2014-11-09,46.67047,46.88141,46.61774,46.67047
2014-11-10,46.67047,47.19782,46.37115,46.37115
2014-11-11,46.63984,47.06192,46.63984,46.95640
2014-11-12,46.74536,47.27296,46.50282,46.72656
2014-11-13,46.67394,47.09490,46.52445,46.57702
2014-11-14,46.57702,47.64228,46.47188,47.32572
2014-11-15,47.32572,47.32572,47.32572,47.32572
2014-11-16,47.06192,47.58952,47.06192,47.27296
2014-11-17,47.32572,47.69504,46.84338,47.15847
2014-11-18,46.94841,47.73614,46.79643,47.21519
2014-11-19,47.21519,47.52926,46.90703,47.22044
2014-11-20,47.01150,47.77935,46.85479,47.41342
2014-11-21,47.41342,48.39228,47.30888,48.02247
2014-11-22,48.02247,48.02247,48.02247,48.02247
2014-11-23,48.18096,48.18096,47.91681,47.96964
2014-11-24,47.95309,47.95309,47.43000,47.95309
2014-11-25,47.90022,48.32318,47.31886,47.96964
2014-11-26,47.96964,48.23379,47.43910,47.70178
2014-11-27,47.70178,48.01699,47.54417,47.80685
2014-11-28,47.59671,47.80685,47.11492,47.43008
2014-11-29,47.16745,47.16745,47.16745,47.16745
2014-11-30,47.27250,47.32502,47.11492,47.11492
2014-12-01,47.11492,47.91648,46.85230,47.49616
2014-12-02,47.49616,48.19360,46.86568,47.61104
2014-12-03,47.34624,47.95200,46.86960,47.24606
2014-12-04,47.24606,47.72544,46.92712,47.29932
2014-12-05,47.29932,47.60583,46.34822,46.45428
2014-12-06,46.45428,46.45428,46.45428,46.45428
2014-12-07,46.66640,46.66640,46.40125,46.40125
2014-12-08,46.40125,47.08945,45.55277,46.18080
2014-12-09,46.02045,46.87565,45.43681,46.17734
2014-12-10,45.96576,46.31375,45.38391,45.83738
2014-12-11,45.62566,46.10203,45.00001,45.36930
2014-12-12,45.10552,45.52756,44.64296,45.11677
2014-12-13,45.11677,45.11677,45.11677,45.11677
2014-12-14,45.27470,45.37999,44.59032,45.16941
2014-12-15,45.16941,45.64322,44.27657,44.85500
2014-12-16,44.64466,45.38085,44.28222,44.85868
2014-12-17,44.70146,46.09876,44.33463,44.92467
2014-12-18,44.92467,46.45800,44.81946,45.91970
2014-12-19,45.91970,46.24007,45.50329,45.82336
2014-12-20,45.77001,45.77001,45.77001,45.77001
2014-12-21,45.93005,45.98339,45.71667,45.77001
2014-12-22,45.77001,46.49287,45.66332,45.95221
2014-12-23,45.95221,46.51776,45.57774,46.12179
2014-12-24,45.90677,46.17554,45.66625,45.88115
2014-12-25,45.88115,46.14977,45.77370,45.98860
2014-12-26,45.98860,46.36467,45.77370,45.77370
2014-12-27,46.04232,46.04232,46.04232,46.04232
2014-12-30,45.99288,46.60187,45.88542,46.26574
2014-12-31,46.26574,46.64276,46.12803,46.26574
2015-01-01,46.26574,46.58890,46.26574,46.37346
2015-01-02,46.31960,47.11392,45.67328,46.29597
2015-01-04,46.56862,46.62315,46.24144,46.24144
2015-01-05,46.24144,47.12280,46.13238,46.72471
2015-01-06,46.72471,47.21642,46.38624,46.64000
2015-01-07,46.64000,47.53368,46.58500,47.43113
2015-01-08,47.20923,48.15888,47.09828,47.99185
2015-01-09,47.76915,48.50599,47.38838,48.17185
2015-01-10,48.17185,48.17185,48.17185,48.17185
2015-01-11,48.39461,48.39461,48.17185,48.22754
2015-01-12,48.22754,48.50599,47.68218,48.07166
2015-01-13,47.84962,48.49292,47.84962,48.03458
2015-01-14,48.03458,48.70250,47.47376,48.19474
2015-01-15,48.13928,49.49875,47.43827,48.65020
2015-01-16,48.65020,49.15918,48.42392,48.70610
2015-01-17,48.70610,48.70610,48.70610,48.70610
2015-01-18,48.81937,48.93264,48.70610,48.93264
2015-01-19,48.70610,49.04591,48.18597,48.24246
2015-01-20,48.24246,49.07088,48.07299,48.73011
2015-01-21,48.73011,49.46845,48.26624,48.76381
2015-01-22,48.76381,50.52960,48.55179,50.29992
2015-01-23,50.07024,50.56448,49.78314,50.01630
2015-01-24,50.01630,50.01630,50.01630,50.01630
2015-01-25,49.49949,50.18858,49.49949,49.84403
2015-01-26,49.84403,50.30342,48.95900,49.12880
2015-01-27,49.12880,50.65583,48.50620,49.82200
2015-01-28,49.82200,50.40200,49.21323,49.65879
2015-01-29,49.65879,50.37004,49.18170,50.19595
2015-01-30,49.90580,50.31201,49.01130,49.44841
2015-02-01,49.50638,49.79623,49.39044,49.50638
2015-02-02,49.56435,50.44695,49.12635,50.20078
2015-02-03,50.02727,50.83696,49.39988,50.37525
2015-02-04,50.14575,50.43263,49.49963,49.86405
2015-02-05,49.63479,50.97120,49.57748,50.56771
2015-02-06,50.56771,50.79704,49.31933,49.49098
2015-02-07,49.49098,49.49098,49.37655,49.37655
2015-02-08,49.77705,49.77705,49.37655,49.43376
2015-02-09,49.43376,50.55135,49.03326,49.85409
2015-02-10,49.85409,50.26082,48.83872,49.60092
2015-02-11,49.31120,49.71028,48.44202,49.01422
2015-02-12,48.78220,49.59427,48.08565,49.37164
2015-02-13,49.14012,49.77680,48.25570,49.09441
2015-02-14,49.09441,49.09441,49.09441,49.09441
2015-02-15,49.26708,49.32463,49.03686,49.09441
2015-02-16,49.15197,49.49730,48.99000,49.04750
2015-02-17,49.04750,49.62250,48.88995,48.95166
2015-02-18,48.95166,49.76921,48.63898,49.65387
2015-02-19,49.42319,49.94222,48.95378,49.10076
2015-02-20,49.10076,49.93800,49.04313,49.59000
2015-02-22,49.59000,49.88000,49.53200,49.82200
2015-02-23,49.64800,49.93800,48.97354,49.43610
2015-02-24,49.43610,50.49316,49.25412,50.06346
2015-02-25,50.06346,50.64156,49.81667,50.46376
2015-02-26,50.17474,51.41400,49.77010,49.96152
2015-02-27,49.96152,50.85822,49.26600,49.86330
2015-02-28,49.86330,49.86330,49.86330,49.86330
2015-03-01,49.98035,50.15593,49.80477,49.92182
2015-03-02,49.92182,50.23590,49.33602,49.62829
2015-03-03,49.33602,50.15115,49.21911,49.68135
2015-03-04,49.68135,50.40048,49.27027,49.89708
2015-03-05,49.66116,50.71530,49.36626,49.69860
2015-03-06,49.69860,51.21592,48.63363,49.28963
2015-03-07,49.28963,49.28963,49.28963,49.28963
2015-03-08,49.46886,49.58835,49.17014,49.52861
2015-03-09,49.28963,50.27360,48.99090,49.35102
2015-03-10,49.05228,49.35102,48.03498,48.03498
2015-03-11,48.03498,48.81167,47.97122,48.44914
2015-03-12,48.44914,50.82025,48.15044,49.69440
2015-03-13,49.51080,49.87800,48.59280,48.71520
2015-03-14,48.71520,48.71520,48.71520,48.71520
2015-03-15,49.02120,49.02120,48.59280,48.77640
2015-03-16,48.77640,49.44960,48.77640,49.38840
2015-03-17,49.08240,49.93957,48.96000,49.69265
2015-03-18,49.69265,51.68650,49.50746,51.12940
2015-03-19,50.88180,51.37700,49.48738,49.67180
2015-03-20,49.67180,51.29280,49.04560,50.19890
2015-03-21,50.19890,50.19890,50.19890,50.19890
2015-03-22,49.89540,50.38100,49.83470,50.07750
2015-03-23,50.07750,51.04870,49.42665,50.50694
2015-03-24,50.50694,51.29234,49.96160,50.75435
2015-03-25,50.75435,51.29750,50.01075,50.63365
2015-03-26,50.63365,50.93540,49.96980,49.96980
2015-03-27,49.96980,50.45260,49.71863,49.71863
2015-03-28,49.71863,49.71863,49.71863,49.71863
2015-03-29,49.89942,50.08022,49.71863,49.77889
2015-03-30,49.77889,50.22330,49.23651,49.55769
2015-03-31,49.55769,50.02800,49.19463,49.66416
2015-04-01,49.66416,50.93330,49.60352,50.50682
2015-04-02,50.50682,51.05515,49.77713,50.38390
2015-04-03,50.14254,51.34934,50.01165,50.79496
2015-04-04,50.79496,50.79496,50.79496,50.79496
2015-04-05,50.79496,51.03598,50.67445,50.85522
2015-04-06,50.85522,51.51802,50.19508,50.19508
2015-04-07,50.25477,51.32629,49.89666,50.84265
2015-04-08,50.60083,51.32629,50.51781,51.06166
2015-04-09,50.81995,51.44516,50.21567,50.41504
2015-04-10,50.41504,50.77861,49.79267,50.23326
